,Survived,Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
0,1,2,Miss. Jessie Wills Leitch,female,31.0,0,0,33.0
1,1,2,Mrs. (Elizabeth Anne Maidment) Mellinger,female,41.0,0,1,19.5
2,1,2,Master. William Rowe Richards,male,3.0,1,1,18.75
3,1,2,Miss. Kate Florence Phillips,female,19.0,0,0,26.0
4,0,3,Mr. Marin Markoff,male,35.0,0,0,7.8958
5,0,2,Mr. William Campbell,male,21.0,0,0,0.0
6,0,3,Miss. Ida Lefebre,female,3.0,3,1,25.4667
7,0,1,Jonkheer. John George Reuchlin,male,38.0,0,0,0.0
8,0,2,Mr. George Henry Hunt,male,33.0,0,0,12.275
9,0,3,Mr. Roger Tobin,male,20.0,0,0,7.75
10,0,3,Mr. Thomas Leonard Theobald,male,34.0,0,0,8.05
11,1,2,Mrs. John T (Ada Julia Bone) Doling,female,34.0,0,1,23.0
12,1,3,Miss. Agnes McCoy,female,28.0,2,0,23.25
13,0,3,Mrs. Thomas (Annie Louise Rowley) Meek,female,32.0,0,0,8.05
14,0,3,Miss. Saiide Barbara,female,18.0,0,1,14.4542
15,0,3,Mr. Thomas J Kilgannon,male,22.0,0,0,7.7375
16,0,3,Mr. Amin Saad,male,30.0,0,0,7.2292
17,0,3,Miss. Telma Matilda Strom,female,2.0,0,1,10.4625
18,0,1,Mr. Quigg Edmond Baxter,male,24.0,0,1,247.5208
19,0,2,Rev. Robert James Bateman,male,51.0,0,0,12.525
20,0,3,Mrs. Frederick (Augusta Tyler) Goodwin,female,43.0,1,6,46.9
21,1,2,Mrs. Elizabeth (Eliza Needs) Hocking,female,54.0,1,3,23.0
22,0,1,Dr. Arthur Jackson Brewe,male,46.0,0,0,39.6
23,1,3,Mr. Fang Lang,male,26.0,0,0,56.4958
24,0,3,Mr. Ivan Mineff,male,24.0,0,0,7.8958
25,1,3,Miss. Ellen O'Dwyer,female,24.0,0,0,7.8792
26,1,3,Miss. Banoura Ayoub,female,13.0,0,0,7.2292
27,1,1,Miss. Alice Elizabeth Fortune,female,24.0,3,2,263.0
28,0,2,Mr. William Carbines,male,19.0,0,0,13.0
29,0,2,Mr. Rene Jacques Levy,male,36.0,0,0,12.875
30,0,3,Mr. Harry Corn,male,30.0,0,0,8.05
31,0,1,Mr. Timothy J McCarthy,male,54.0,0,0,51.8625
32,1,1,Mrs. John Jacob (Madeleine Talmadge Force) Astor,female,18.0,1,0,227.525
33,0,3,Mr. Gerious Yousseff,male,26.0,0,0,14.4583
34,1,1,Mrs. Albert Adrian (Vera Gillespie) Dick,female,17.0,1,0,57.0
35,1,1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38.0,1,0,71.2833
36,0,3,Mr. Viktor Richard Rosblom,male,18.0,1,1,20.2125
37,1,3,Mr. Victor Francis Sunderland,male,16.0,0,0,8.05
38,1,1,Mrs. Gertrude Maybelle Thorne,female,38.0,0,0,79.2
39,0,3,Mr. Samuel Dennis,male,22.0,0,0,7.25
40,0,3,Master. William Frederick Goodwin,male,11.0,5,2,46.9
41,0,3,Mr. Christo Nenkoff,male,22.0,0,0,7.8958
42,0,3,Master. Arthur Rice,male,4.0,4,1,29.125
43,0,1,Mr. Thornton Davidson,male,31.0,1,0,52.0
44,1,3,Miss. Adele Kiamie Najib,female,15.0,0,0,7.225
45,1,3,Master. Bertram Vere Dean,male,1.0,1,2,20.575
46,0,2,Rev. Ernest Courtenay Carter,male,54.0,1,0,26.0
47,1,1,Mr. Edward Pennington Calderhead,male,42.0,0,0,26.2875
48,0,3,Miss. Stina Viola Palsson,female,3.0,3,1,21.075
49,0,3,Master. Sidney Leonard Goodwin,male,1.0,5,2,46.9
50,1,1,Mrs. John C (Anna Andrews) Hogeboom,female,51.0,1,0,77.9583
51,0,3,Mr. Nakli Toufik,male,17.0,0,0,7.2292
52,1,2,Mrs. Sinai (Miriam Sternin) Kantor,female,24.0,1,0,26.0
53,0,3,Mr. Nikolai Erland Kallio,male,17.0,0,0,7.125
54,0,3,Mr. Phillippe Wiseman,male,54.0,0,0,7.25
55,0,3,Miss. Gerda Ulrika Dahlberg,female,22.0,0,0,10.5167
56,1,1,Miss. Susan Parker Ryerson,female,21.0,2,2,262.375
57,1,1,Mr. Spencer Victor Silverthorne,male,35.0,0,0,26.2875
58,0,3,Mr. Karl Alfred Backstrom,male,32.0,1,0,15.85
59,0,3,Miss. Ingeborg Constanzia Andersson,female,9.0,4,2,31.275
60,0,3,Master. Eino Viljami Panula,male,1.0,4,1,39.6875
61,1,1,Mr. William Ernest Carter,male,36.0,1,2,120.0
62,1,1,Miss. Emily Borie Ryerson,female,18.0,2,2,262.375
63,0,3,Mr. Kanio Ivanoff,male,20.0,0,0,7.8958
64,0,3,Miss. Mathilde Lefebre,female,12.0,3,1,25.4667
65,0,1,Mr. Arthur Webster Newell,male,58.0,0,2,113.275
66,1,3,Master. Edvin Rojj Felix Asplund,male,3.0,4,2,31.3875
67,0,1,Mr. Frederick Sutton,male,61.0,0,0,32.3208
68,0,3,Mr. Jacob Cook,male,43.0,0,0,8.05
69,0,3,Miss. Wendla Maria Heininen,female,23.0,0,0,7.925
70,0,1,Mr. Charles H Harrington,male,37.0,0,0,42.4
71,0,3,Mr. Jozef Drazenoic,male,33.0,0,0,7.8958
72,0,3,Miss. Sigrid Elisabeth Andersson,female,11.0,4,2,31.275
73,1,3,Miss. Margaret Madigan,female,21.0,0,0,7.75
74,0,2,Mr. Edward H Wheadon,male,66.0,0,0,10.5
75,0,3,Mr. Eliezer Gilinski,male,22.0,0,0,8.05
76,0,2,Mr. Stanley Hubert Fox,male,36.0,0,0,13.0
77,0,3,Miss. Catherine Helen Johnston,female,7.0,1,2,23.45
78,0,3,Miss. Thamine Zabour,female,19.0,1,0,14.4542
79,1,3,Miss. Anna Sofia Turja,female,18.0,0,0,9.8417
80,0,2,Mr. Benjamin Hart,male,43.0,1,1,26.25
81,1,1,Miss. Hedwig Margaritha Frolicher,female,22.0,0,2,49.5
82,1,3,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,24.0,0,2,16.7
83,0,3,Mr. Daniel Danielsen Gronnestad,male,32.0,0,0,8.3625
84,1,3,Miss. Annie Jermyn,female,22.0,0,0,7.75
85,0,1,Mr. John Montgomery Smart,male,56.0,0,0,26.55
86,0,3,Mr. Todor Sdycoff,male,42.0,0,0,7.8958
87,1,3,Master. Elias Nicola-Yarred,male,12.0,1,0,11.2417
88,0,3,Mr. Frederick Charles Sawyer,male,24.5,0,0,8.05
89,1,3,Miss. Katherine Murphy,female,18.0,1,0,15.5
90,0,3,Mr. Hans Martin Monsen Birkeland,male,21.0,0,0,7.775
91,1,2,Miss. Elsie Doling,female,18.0,0,1,23.0
92,0,3,Mr. Ahmed Ali,male,24.0,0,0,7.05
93,1,3,Mr. Karl Edwart Dahl,male,45.0,0,0,8.05
94,0,3,Mr. Ernst William Torber,male,44.0,0,0,8.05
95,0,3,Mr. Mito Mitkoff,male,23.0,0,0,7.8958
96,0,3,Miss. Katie Peters,female,28.0,0,0,8.1375
97,0,3,Master. George Hugh Rice,male,8.0,4,1,29.125
98,0,3,Miss. Ellis Anna Maria Andersson,female,2.0,4,2,31.275
99,0,3,Mr. John Flynn,male,36.0,0,0,6.95
100,1,3,Miss. Margaret Jane Murphy,female,18.0,1,0,15.5
101,1,1,Miss. Georgette Alexandra Madill,female,15.0,0,1,211.3375
102,0,3,Mr. Guentcho Bostandyeff,male,26.0,0,0,7.8958
103,1,1,Dr. Henry William Frauenthal,male,50.0,2,0,133.65
104,1,3,Mr. Ernst Ulrik Persson,male,25.0,1,0,7.775
105,0,1,Mr. Richard Frasar White,male,21.0,0,1,77.2875
106,0,2,Mr. Peter Henry Renouf,male,34.0,1,0,21.0
107,1,1,Miss. Alice Cleaver,female,22.0,0,0,151.55
108,1,1,Mrs. Martin (Elizabeth L. Barrett) Rothschild,female,54.0,1,0,59.4
109,0,3,Mr. Owen Harris Braund,male,22.0,1,0,7.25
110,0,3,Mr. John Garfirth,male,23.0,0,0,14.5
111,0,3,Mr. James Scanlan,male,22.0,0,0,7.725
112,1,3,Mr. Ivan Jalsevac,male,29.0,0,0,7.8958
113,0,1,Mr. Victor Robbins,male,45.0,0,0,227.525
114,0,3,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,female,30.0,1,1,24.15
115,0,3,Mr. Thomas O'Brien,male,27.0,1,0,15.5
116,0,3,Mr. Hans Linus Eklund,male,16.0,0,0,7.775
117,0,3,Miss. Bridget Mary O'Sullivan,female,21.0,0,0,7.6292
118,0,2,Mr. Nicholas Nasser,male,32.5,1,0,30.0708
119,1,1,Mrs. Thomas (Edith Wearne) Pears,female,22.0,1,0,66.6
120,0,1,Mr. William Henry Marsh Parr,male,30.0,0,0,0.0
121,0,3,Mr. Ernesti Arvid Panula,male,16.0,4,1,39.6875
122,1,2,Mrs. Samuel (Hannah Wizosky) Abelson,female,28.0,1,0,24.0
123,1,2,Mrs. Harvey (Charlotte Annie Tate) Collyer,female,31.0,1,1,26.25
124,0,3,Mr. Mile Smiljanic,male,37.0,0,0,8.6625
125,0,2,Mr. Jacob Christian Milling,male,48.0,0,0,13.0
126,0,2,Mr. Peter David McKane,male,46.0,0,0,26.0
127,0,3,Mrs. Joseph (Maria Elias) Caram,female,18.0,1,0,14.4583
128,0,3,Mr. William James Elsbury,male,47.0,0,0,7.25
129,1,3,Mrs. Frank John (Emily Alice Brown) Goldsmith,female,31.0,1,1,20.525
130,0,3,Mr. Jakob Pasic,male,21.0,0,0,8.6625
131,1,2,Miss. Mary Davis,female,28.0,0,0,13.0
132,0,1,Mr. Arthur H Gee,male,47.0,0,0,38.5
133,1,3,Mr. Juha Niskanen,male,39.0,0,0,7.925
134,0,1,Mr. Jacques Heath Futrelle,male,37.0,1,0,53.1
135,0,3,Mr. Knud Paust Rommetvedt,male,49.0,0,0,7.775
136,0,3,Mr. Patrick D O'Connell,male,18.0,0,0,7.7333
137,0,3,Mr. Tannous Elias,male,15.0,1,1,7.2292
138,1,1,Mr. Henry Blank,male,40.0,0,0,31.0
139,0,1,Mr. Percival Wayland White,male,54.0,0,1,77.2875
140,0,3,Mr. Leslie Williams,male,28.5,0,0,16.1
141,0,1,Mr. Alexander Oskar Holverson,male,42.0,1,0,52.0
142,1,3,Mr. August Edvard Andersson,male,27.0,0,0,7.7958
143,1,1,Lady. (Lucille Christiana Sutherland)Duff Gordon,female,48.0,1,0,39.6
144,1,3,Master. Assad Alexander Thomas,male,0.42,0,1,8.5167
145,1,1,Mr. William Bertram Greenfield,male,23.0,0,1,63.3583
146,0,3,Mr. John Hall Lovell,male,20.5,0,0,7.25
147,0,2,Mr. Edgardo Samuel Andrew,male,18.0,0,0,11.5
148,1,1,Mrs. Dickinson H (Helen Walton) Bishop,female,19.0,1,0,91.0792
149,0,3,Mr. Johannes Halvorsen Kalvik,male,21.0,0,0,8.4333
150,0,3,Mr. William Ali,male,25.0,0,0,7.05
151,1,1,Miss. Jean Gertrude Hippach,female,16.0,0,1,57.9792
152,1,1,Miss. Amelie Icard,female,38.0,0,0,80.0
153,0,3,Mr. Vincenz Kink,male,26.0,2,0,8.6625
154,1,1,Miss. Caroline Louise Endres,female,38.0,0,0,227.525
155,0,3,Mrs. Edward (Margaret Ann Watson) Ford,female,48.0,1,3,34.375
156,1,2,Mrs. Nicholas (Adele Achem) Nasser,female,14.0,1,0,30.0708
157,0,2,Mr. Francis Parkes,male,21.0,0,0,0.0
158,1,2,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,female,23.0,0,0,13.7917
159,0,1,Mr. Herbert Fuller Chaffee,male,46.0,1,0,61.175
160,0,3,Master. Thomas Henry Sage,male,5.0,8,2,69.55
161,0,3,Mr. Henry Hart,male,27.0,0,0,6.8583
162,0,3,Mr. John Fredrik Alexander Holm,male,43.0,0,0,6.45
163,0,1,Mr. Charles Alexander Fortune,male,19.0,3,2,263.0
164,0,1,Mr. William Anderson Walker,male,47.0,0,0,34.0208
165,1,3,Miss. Luise Gretchen Kink-Heilmann,female,4.0,0,2,22.025
166,0,1,Mr. James Clinch Smith,male,56.0,0,0,30.6958
167,1,1,Mr. Samuel L Goldenberg,male,49.0,1,0,89.1042
168,0,3,Mr. Minko Nankoff,male,32.0,0,0,7.8958
169,1,2,Mr. George Harris,male,62.0,0,0,10.5
170,0,2,Mr. George Floyd Eitemiller,male,23.0,0,0,13.0
171,1,1,Mrs. Norman Campbell (Bertha Griggs) Chambers,female,33.0,1,0,53.1
172,1,3,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26.0,1,0,15.5
173,1,3,Mr. Lee Bing,male,32.0,0,0,56.4958
174,1,1,Mrs. Samuel L (Edwiga Grabowska) Goldenberg,female,40.0,1,0,89.1042
175,1,3,Mrs. Solomon (Latifa Qurban) Baclini,female,24.0,0,3,19.2583
176,0,1,Mr. Charles Duane Williams,male,51.0,0,1,61.3792
177,0,3,Mr. Emil Christmann,male,29.0,0,0,8.05
178,0,2,Mr. Samuel Greenberg,male,52.0,0,0,13.0
179,0,3,Mr. Martin Gallagher,male,25.0,0,0,7.7417
180,0,3,Mr. Daniel Coxon,male,59.0,0,0,7.25
181,0,3,Mr. Ristiu Dantcheff,male,25.0,0,0,7.8958
182,1,3,Miss. Marie Catherine Baclini,female,5.0,2,1,19.2583
183,0,1,Mr. Sante Ringhini,male,22.0,0,0,135.6333
184,0,3,Mr. Yousseff Ibrahim Shawah,male,30.0,0,0,7.2292
185,0,3,Mr. George Henry Green,male,51.0,0,0,8.05
186,1,3,Miss. Lillian Gertrud Asplund,female,5.0,4,2,31.3875
187,1,2,Miss. Marjorie Collyer,female,8.0,0,2,26.25
188,0,3,Mr. Edvard Bengtsson Lindell,male,36.0,1,0,15.55
189,1,2,Miss. Constance Mirium West,female,5.0,1,2,27.75
190,1,2,Mrs. William (Anna) Hamalainen,female,24.0,0,2,14.5
191,0,3,Mr. Francesco Celotti,male,24.0,0,0,8.05
192,0,3,Mr. Nedelio Petroff,male,19.0,0,0,7.8958
193,0,3,Mr. Khalil Saad,male,25.0,0,0,7.225
194,0,3,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,female,39.0,1,5,31.275
195,1,2,Miss. Bertha Ilett,female,17.0,0,0,10.5
196,0,3,Mr. Joseph Murdlin,male,22.0,0,0,8.05
197,0,3,Master. Urho Abraham Panula,male,2.0,4,1,39.6875
198,0,2,Mr. Robert William Norman Leyson,male,24.0,0,0,10.5
199,0,3,Miss. Aloisia Haas,female,24.0,0,0,8.85
200,1,2,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,female,24.0,2,1,27.0
201,0,1,Mr. William Thomas Stead,male,62.0,0,0,26.55
202,0,3,Miss. Kristina Sofia Laitinen,female,37.0,0,0,9.5875
203,0,2,Mr. Reginald Fenton Butler,male,25.0,0,0,13.0
204,1,3,Mr. Theodore de Mulder,male,30.0,0,0,9.5
205,1,3,Miss. Amy Zillah Elsie Stanley,female,23.0,0,0,7.55
206,1,3,Miss. Anna Kristine Salkjelsvik,female,21.0,0,0,7.65
207,0,1,Don. Manuel E Uruchurtu,male,40.0,0,0,27.7208
208,0,3,Mr. Edward Willey,male,21.0,0,0,7.55
209,0,3,Mr. Percival Thorneycroft,male,37.0,1,0,16.1
210,1,1,Miss. Ellen Barber,female,26.0,0,0,78.85
211,0,3,Mr. Tannous Doharr,male,28.0,0,0,7.2292
212,1,2,Mr. Lawrence Beesley,male,34.0,0,0,13.0
213,0,1,Mr. Austen Partner,male,45.5,0,0,28.5
214,1,1,Mr. Adolphe Saalfeld,male,47.0,0,0,30.5
215,0,3,Mr. James Lester,male,39.0,0,0,24.15
216,0,3,Mr. Uscher Paulner,male,16.0,0,0,8.7125
217,1,1,Mlle. Emma Sagesser,female,24.0,0,0,69.3
218,0,3,Mr. Erik Johansson,male,22.0,0,0,7.7958
219,1,3,Miss. Manca Karun,female,4.0,0,1,13.4167
220,1,1,Mrs. Frederick R (Marion) Kenyon,female,41.0,1,0,51.8625
221,0,3,Mr. Johann Markun,male,33.0,0,0,7.8958
222,1,3,Miss. Bertha Moran,female,28.0,1,0,24.15
223,0,3,Mr. Leo Edmondus Vander Planke,male,16.0,2,0,18.0
224,1,3,Miss. Mary Kelly,female,22.0,0,0,7.75
225,0,1,Mr. Thomas Jr Andrews,male,39.0,0,0,0.0
226,0,3,Mr. Klas Albin Klasen,male,18.0,1,1,7.8542
227,0,3,Mr. Yoto Danoff,male,27.0,0,0,7.8958
228,1,1,Miss. Elisabeth Walton Allen,female,29.0,0,0,211.3375
229,0,2,Mr. William John Berriman,male,23.0,0,0,13.0
230,0,2,Mr. Kurt Arnold Gottfrid Bryhl,male,25.0,1,0,26.0
231,0,3,Mr. Len Lam,male,23.0,0,0,56.4958
232,0,3,Mr. Lewis Richard Braund,male,29.0,1,0,7.0458
233,1,1,Mr. George Bradley,male,37.0,0,0,26.55
234,1,2,Mrs. Peter Henry (Lillian Jefferys) Renouf,female,30.0,3,0,21.0
235,0,2,Mr. Lawrence Gavey,male,26.0,0,0,10.5
236,0,2,Mr. Joseph J Fynney,male,35.0,0,0,26.0
237,0,3,Miss. Hanora Hegarty,female,18.0,0,0,6.75
238,0,3,Mr. Jeremiah Burke,male,19.0,0,0,6.75
239,0,3,Mr. Johan Hansen Nysveen,male,61.0,0,0,6.2375
240,0,3,Mr. Samuel Beard Risien,male,69.0,0,0,14.5
241,0,3,Mr. Olof Svensson,male,24.0,0,0,7.7958
242,0,3,Mr. Johan Svensson,male,74.0,0,0,7.775
243,0,2,Mr. Richard George Hocking,male,23.0,2,1,11.5
244,0,3,Mr. Hans Peder Jensen,male,20.0,0,0,7.8542
245,0,3,Mr. Abraham (David Lishin) Harmer,male,25.0,0,0,7.25
246,1,2,Mrs. Sidney (Emily Hocking) Richards,female,24.0,2,3,18.75
247,0,2,Mr. Henry Michael Mitchell,male,70.0,0,0,10.5
248,1,1,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35.0,1,0,83.475
249,1,1,Miss. Elise Lurette,female,58.0,0,0,146.5208
250,1,1,Miss. Laura Mabel Francatelli,female,30.0,0,0,56.9292
251,1,1,Mrs. Louis Albert (Ida Sophia Fischer) Hippach,female,44.0,0,1,57.9792
252,0,2,Mr. John Henry Chapman,male,37.0,1,0,26.0
253,0,3,Mr. Matthew Sadlier,male,19.0,0,0,7.7292
254,0,1,Mr. George Wright,male,62.0,0,0,26.55
255,0,1,Mr. Mark Fortune,male,64.0,1,4,263.0
256,0,2,Mr. Reginald Hale,male,30.0,0,0,13.0
257,0,3,Mr. Orsen Sirayanian,male,22.0,0,0,7.2292
258,1,3,Mr. Fridtjof Arne Madsen,male,24.0,0,0,7.1417
259,0,2,Mrs. Ernest Courtenay (Lilian Hughes) Carter,female,44.0,1,0,26.0
260,0,2,Mr. Edwy Arthur West,male,36.0,1,2,27.75
261,0,3,Mr. Alfred George John Rush,male,16.0,0,0,8.05
262,1,1,Master. Washington Dodge,male,4.0,0,2,81.8583
263,1,3,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24.0,1,0,15.85
264,1,1,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,female,48.0,1,0,52.0
265,0,3,Miss. Mary Bourke,female,40.0,0,2,7.75
266,1,1,Mr. Maxmillian Frolicher-Stehli,male,60.0,1,1,79.2
267,0,3,Mr. Douglas Bullen Sage,male,18.0,8,2,69.55
268,0,3,Miss. Jeannie Lefebre,female,8.0,3,1,25.4667
269,0,2,Mrs. William (Anna Sylfven) Lahtinen,female,26.0,1,1,26.0
270,1,2,Miss. Anna Sinkkonen,female,30.0,0,0,13.0
271,0,2,Mr. Johan Henrik Johannesson Kvillner,male,31.0,0,0,10.5
272,1,1,Mr. Peter Denis Daly,male,51.0,0,0,26.55
273,1,1,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35.0,1,0,53.1
274,0,1,Mr. Washington Augustus II Roebling,male,31.0,0,0,50.4958
275,1,1,Mr. Charles Hallace Romaine,male,45.0,0,0,26.55
276,0,1,Mr. Tyrell William Cavendish,male,36.0,1,0,78.85
277,1,2,Master. Edmond Roger Navratil,male,2.0,1,1,26.0
278,0,3,Mr. John Viktor Bengtsson,male,26.0,0,0,7.775
279,0,3,Mr. Maurice O'Connor,male,17.0,0,0,7.75
280,1,1,Miss. Margaret Bechstein Hays,female,24.0,0,0,83.1583
281,0,3,Mr. Jeso Culumovic,male,17.0,0,0,8.6625
282,1,3,Mr. Bernard McCoy,male,24.0,2,0,23.25
283,1,1,Mrs. James Joseph (Margaret Tobin) Brown,female,44.0,0,0,27.7208
284,1,2,Miss. Clear Annie Cameron,female,35.0,0,0,21.0
285,1,1,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,female,56.0,0,1,83.1583
286,1,2,Mrs. William A (Florence Agnes Hughes) Angle,female,36.0,1,0,26.0
287,0,1,Mr. John Farthing,male,49.0,0,0,221.7792
288,0,1,Mr. Arthur Ernest Nicholson,male,64.0,0,0,26.0
289,0,3,Mr. Alfred Johnson,male,49.0,0,0,0.0
290,0,3,Mr. Ilmari Rudolf Alhomaki,male,20.0,0,0,7.925
291,0,2,Mr. Sidney Samuel Jacobsohn,male,42.0,1,0,27.0
292,0,3,Miss. Katriina Jussila,female,20.0,1,0,9.825
293,0,3,Mr. Mohamed Badt,male,40.0,0,0,7.225
294,0,3,Mr. Philemon van Melkebeke,male,23.0,0,0,9.5
295,1,1,Mr. Harry Homer,male,35.0,0,0,26.55
296,1,1,Mlle. Berthe Antonine Mayne,female,24.0,0,0,49.5042
297,1,2,Mrs. (Ada E Hall) Ball,female,36.0,0,0,13.0
298,0,3,Mrs. William (Margaret Norton) Rice,female,39.0,0,5,29.125
299,0,2,Mr. Alfred Fleming Cunningham,male,22.0,0,0,0.0
300,0,3,Miss. Lillian Amy Goodwin,female,16.0,5,2,46.9
301,1,2,Mr. William John Mellors,male,19.0,0,0,10.5
302,0,2,Mr. Frederick William Pengelly,male,19.0,0,0,10.5
303,0,2,Mrs. (Mary) Mack,female,57.0,0,0,10.5
304,0,3,Mr. William Arthur Lobb,male,30.0,1,0,16.1
305,1,3,Miss. Brigdet Delia McDermott,female,31.0,0,0,7.7875
306,0,1,Mr. William Harrison,male,40.0,0,0,0.0
307,1,1,Miss. Elsie Edith Bowerman,female,22.0,0,1,55.0
308,0,3,Mr. Ole Martin Olsen,male,27.0,0,0,7.3125
309,0,2,Mr. Henry Samuel Morley,male,39.0,0,0,26.0
